 X Translation (mm), Y Translation (mm), Z Translation (mm), 
2.289932462,3.866451474,0.896163976, 
2.209279931,3.866451474,5.141021018, 
2.209279931,4.273396927,2.354908255, 
2.305260815,4.273396927,6.406955776, 
2.305260815,4.371713182,3.104106011, 
2.313040372,4.371713182,6.635618796, 
2.313040372,4.027872928,3.016337855, 
1.990872236,4.027872928,3.470994118, 
1.990872236,2.77586885,0.577564904, 
0.645355434,2.77586885,-1.208124004, 
0.645355434,1.456656931,-4.041505211, 
0.688189639,1.456656931,-2.842275208, 
0.688189639,1.754711921,-3.537016728, 
2.079039054,1.754711921,0.873161738, 
2.079039054,2.850325948,-1.346917277, 
2.281200564,2.850325948,3.074736407, 
2.281200564,3.864586182,1.040469117, 
2.140467546,3.864586182,4.486553885, 
2.140467546,4.219405237,2.89499206, 
2.207762853,4.219405237,5.786123047, 
2.207762853,4.916112605,3.266729905, 
2.092132552,4.916112605,7.532481267, 
2.092132552,4.94568386,4.039697261, 
2.959086796,4.94568386,6.864587811, 
2.959086796,4.389666422,4.097610126, 
2.972132749,4.389666422,8.618020233, 
2.972132749,4.222379904,4.204708367, 
2.280045007,4.222379904,7.564906438, 
2.280045007,4.024922211,3.192369089, 
1.303004278,4.024922211,3.096387532, 
1.303004278,2.613035845,-0.273108598, 
1.155219707,2.613035845,0.470261117, 
1.155219707,2.750723859,-0.689425365, 
2.169035698,2.750723859,2.737209185, 
2.169035698,3.649012267,0.460723311, 
2.129313888,3.649012267,4.313328069, 
2.129313888,4.324410735,2.175030548, 
2.096202555,4.324410735,5.33500739, 
2.096202555,4.289418659,3.063359223, 
2.286789229,4.289418659,7.665289305, 
2.286789229,4.344716968,4.078207343, 
2.2600551,4.344716968,8.685123047, 
2.2600551,4.311552441,4.217637657, 
2.43522296,4.311552441,8.884430146, 
2.43522296,4.12774381,4.215828141, 
3.043459298,4.12774381,8.74986903, 
3.043459298,4.140460124,4.246115162, 
2.974445624,4.140460124,7.799171465, 
2.974445624,4.353947387,4.293789742, 
2.074924677,4.353947387,7.453394035, 
2.074924677,3.196357408,2.937511514, 
0.191232859,3.196357408,0.962895328, 
0.191232859,2.691886497,-1.296151473, 
0.201292627,2.691886497,-1.365766397, 
0.201292627,2.636182656,-2.508788469, 
