 X Translation (mm), Y Translation (mm), Z Translation (mm),,,,,,, 
-0.587785285,-1.420809125,-4.221344839,,,,,,, 
-0.587785285,-1.052237254,-4.701480223,,,,,,, 
-0.702995386,-1.052237254,-2.793384347,,,,,,, 
-0.702995386,-1.398568202,-1.852069243,,,,,,, 
-0.92277368,-1.398568202,-0.985969284,,,,,,, 
-0.92277368,-1.026381702,-0.005132302,,,,,,, 
-0.932169731,-1.026381702,-0.122335099,,,,,,, 
-0.932169731,-1.37514192,0.093265196,,,,,,, 
-0.917959169,-1.37514192,-0.039671907,,,,,,, 
-0.917959169,-1.034075862,0.406273004,,,,,,, 
-0.923648167,-1.034075862,0.161553845,,,,,,, 
-0.923648167,-1.414619071,-0.232070634,,,,,,, 
-0.979292286,-1.414619071,-1.461337623,,,,,,, 
-0.979292286,-1.090868212,-1.831415425,,,,,,, 
-0.768515466,-1.090868212,-3.395829418,,,,,,, 
-0.768515466,-1.719271114,-4.333826309,,,,,,, 
-0.57501968,-1.719271114,-4.830677857,,,,,,, 
-0.57501968,-1.021306084,-3.459806822,,,,,,, 
-0.870454816,-1.021306084,-1.89865777,,,,,,, 
-0.870454816,-1.456858588,-1.326748679,,,,,,, 
-0.898716838,-1.456858588,-0.896355128,,,,,,, 
-0.898716838,-1.117569842,-0.060545371,,,,,,, 
-0.830777069,-1.117569842,-0.087550989,,,,,,, 
-0.830777069,-1.380290248,-0.039453007,,,,,,, 
-0.913234141,-1.380290248,-0.319472024,,,,,,, 
-0.913234141,-1.153909022,-1.139379946,,,,,,, 
-0.785297104,-1.153909022,-2.247348234,,,,,,, 
-0.785297104,-1.71141304,-3.607046162,,,,,,, 
-0.609743501,-1.71141304,-4.255972017,,,,,,, 
-0.609743501,-1.233724495,-4.934311437,,,,,,, 
-0.545694118,-1.233724495,-3.281403958,,,,,,, 
-0.545694118,-1.456734756,-2.082358786,,,,,,, 
-0.85608419,-1.456734756,-1.087625283,,,,,,, 
-0.85608419,-1.092924837,-0.52315123,,,,,,, 
-0.846239775,-1.092924837,-0.089885034,,,,,,, 
-0.846239775,-1.303760432,0.043748302,,,,,,, 
-0.918029497,-1.303760432,0.142663412,,,,,,, 
-0.918029497,-1.059154751,0.226767176,,,,,,, 
-0.857796018,-1.059154751,-0.750395382,,,,,,, 
-0.857796018,-1.692398855,-2.315295765,,,,,,, 
-0.71351085,-1.692398855,-3.142132832,,,,,,, 
-0.71351085,-1.238851826,-4.391294573,,,,,,, 
-0.520802566,-1.238851826,-4.851490218,,,,,,, 
-0.520802566,-1.552800883,-4.933802177,,,,,,, 
-0.696003366,-1.552800883,-2.690045386,,,,,,, 
-0.696003366,-1.053364724,-1.561044567,,,,,,, 
-0.920347481,-1.053364724,-0.781817074,,,,,,, 
-0.920347481,-1.374003679,-0.700246541,,,,,,, 
-0.956905526,-1.374003679,-0.088208537,,,,,,, 
-0.956905526,-1.009501127,0.197628062,,,,,,, 
-0.948028693,-1.009501127,0.250911833,,,,,,, 
-0.948028693,-1.365218372,0.051990451,,,,,,, 
-1.00592522,-1.365218372,-0.753103176,,,,,,, 
-1.00592522,-1.105152423,-1.581044243,,,,,,, 
-0.777341831,-1.105152423,-2.80922541,,,,,,, 
-0.777341831,-1.646828911,-4.145683989,,,,,,, 
-0.627325637,-1.646828911,-4.64264679,,,,,,, 
-0.627325637,-0.977626606,-4.220763113,,,,,,, 
-0.77825819,-0.977626606,-1.990617632,,,,,,, 
-0.77825819,-1.320925846,-1.329959755,,,,,,, 
-0.965091238,-1.320925846,-0.574081083,,,,,,, 
-0.965091238,-0.94480606,0.079832857,,,,,,, 
-0.983032618,-0.94480606,0.253168756,,,,,,, 
-0.983032618,-1.337130891,0.148582392,,,,,,, 
-0.963695485,-1.337130891,0.285120889,,,,,,, 
-0.963695485,-0.909495805,-0.25488432,,,,,,, 
-0.816110648,-0.909495805,-1.59899495,,,,,,, 
-0.816110648,-1.518809041,-3.127379039,,,,,,, 
-0.626112426,-1.518809041,-3.777923907,,,,,,, 
-0.626112426,-1.023476774,-4.356501746,,,,,,, 
-0.693950088,-1.023476774,-2.677908683,,,,,,, 
-0.693950088,-1.442402572,-1.674159873,,,,,,, 
-1.003561278,-1.442402572,-0.625844979,,,,,,, 
-1.003561278,-1.077979404,0.12646632,,,,,,, 
-0.992690107,-1.077979404,0.220924129,,,,,,, 
-0.992690107,-1.404874799,0.165882337,,,,,,, 
-1.019454219,-1.404874799,0.56485927,,,,,,, 
-1.019454219,-1.020665156,0.585531745,,,,,,, 
-1.046428142,-1.020665156,0.306992955,,,,,,, 
